comando,fase_origen,fase_destino,patron
nmap,0,1,Escaneo de red
masscan,0,1,Escaneo de red masivo
zmap,0,1,Escaneo de red masivo
unicornscan,0,1,Escaneo de red
arp-scan,0,1,Escaneo ARP
netdiscover,0,1,Descubrimiento de red
ping,0,1,Reconocimiento ICMP
fping,0,1,Reconocimiento ICMP masivo
hping3,0,1,Reconocimiento avanzado
hping,0,1,Reconocimiento avanzado
nping,0,1,Reconocimiento de red
tcping,0,1,Reconocimiento TCP
traceroute,0,1,Reconocimiento de ruta
tracepath,0,1,Reconocimiento de ruta
mtr,0,1,Reconocimiento de ruta
ncat,0,1,Reconocimiento con netcat
scapy,0,1,Reconocimiento con Scapy
p0f,0,1,Fingerprinting pasivo
xprobe2,0,1,Fingerprinting OS
queso,0,1,Fingerprinting OS
theharvester,0,1,OSINT correos y dominios
recon-ng,0,1,OSINT automatizado
maltego,0,1,OSINT grafico
spiderfoot,0,1,OSINT automatizado
dmitry,0,1,OSINT basico
osrframework,0,1,OSINT redes sociales
metagoofil,0,1,OSINT metadatos
creepy,0,1,OSINT geolocalizacion
trape,0,1,OSINT rastreo
shodan,0,1,OSINT dispositivos expuestos
censys,0,1,OSINT certificados
fofa,0,1,OSINT dispositivos
zoomeye,0,1,OSINT dispositivos
whois,0,1,Reconocimiento de dominio
dig,0,1,Reconocimiento DNS
host,0,1,Reconocimiento DNS
nslookup,0,1,Reconocimiento DNS
fierce,0,1,Enumeracion DNS
dnsrecon,0,1,Enumeracion DNS
dnsenum,0,1,Enumeracion DNS
subfinder,0,1,Descubrimiento de subdominios
amass,0,1,Descubrimiento de subdominios
assetfinder,0,1,Descubrimiento de subdominios
findomain,0,1,Descubrimiento de subdominios
dnsx,0,1,Resolucion DNS masiva
massdns,0,1,Resolucion DNS masiva
sublist3r,0,1,Descubrimiento de subdominios
knockpy,0,1,Enumeracion de subdominios
dnstwist,0,1,Deteccion de typosquatting
whatweb,0,1,Fingerprinting web
wafw00f,0,1,Deteccion de WAF
httpx,0,1,Reconocimiento HTTP masivo
httprobe,0,1,Reconocimiento HTTP
aquatone,0,1,Capturas web masivas
eyewitness,0,1,Capturas web
gowitness,0,1,Capturas web
webscreenshot,0,1,Capturas web
gau,0,1,Recoleccion de URLs
waybackurls,0,1,Recoleccion de URLs historicas
hakrawler,0,1,Crawling web
katana,0,1,Crawling web
gospider,0,1,Crawling web
photon,0,1,Crawling web OSINT
urlcrazy,0,1,Deteccion de typosquatting
recon-ng,0,1,Framework OSINT
maltego,0,1,Framework OSINT grafico
osmedeus,0,1,Reconocimiento automatizado
reconftw,0,1,Reconocimiento automatizado
rengine,0,1,Reconocimiento automatizado
sn0int,0,1,OSINT framework
nikto,1,2,Enumeracion web
gobuster,1,2,Fuerza bruta de directorios
dirb,1,2,Fuerza bruta de directorios
dirbuster,1,2,Fuerza bruta de directorios
wfuzz,1,2,Fuzzing web
ffuf,1,2,Fuzzing web rapido
feroxbuster,1,2,Fuerza bruta de directorios
dirsearch,1,2,Busqueda de directorios
rustbuster,1,2,Fuerza bruta de directorios
arjun,1,2,Descubrimiento de parametros
paramspider,1,2,Descubrimiento de parametros
x8,1,2,Descubrimiento de parametros
burpsuite,1,2,Proxy web y scanner
zaproxy,1,2,Scanner de vulnerabilidades web
owasp-zap,1,2,Scanner de vulnerabilidades web
skipfish,1,2,Scanner web activo
arachni,1,2,Scanner web
w3af,1,2,Framework de auditoria web
golismero,1,2,Framework de auditoria web
vega,1,2,Scanner de vulnerabilidades web
wapiti,1,2,Scanner web
enum4linux,1,2,Enumeracion SMB
enum4linux-ng,1,2,Enumeracion SMB
smbclient,1,2,Enumeracion SMB
smbmap,1,2,Enumeracion SMB
smbget,1,2,Descarga SMB
rpcclient,1,2,Enumeracion RPC
rpcinfo,1,2,Enumeracion RPC
nbrute,1,2,Fuerza bruta NetBIOS
nbtscan,1,2,Escaneo NetBIOS
ldapsearch,1,2,Enumeracion LDAP
ldapdomaindump,1,2,Volcado LDAP
ldapenum,1,2,Enumeracion LDAP
bloodhound,1,2,Enumeracion Active Directory
sharphound,1,2,Recoleccion AD para BloodHound
adidnsdump,1,2,Volcado DNS de Active Directory
